Day,WkDay,Date,Week,Year,Runs,N_mean,N_std,AR_mean,AR_std,ARs_mean,ARs_std,C_mean,C_std,College_mean,College_std,Cs_mean,Cs_std,E_mean,E_std,GQ_mean,GQ_std,I_mean,I_std,Is_mean,Is_std,M_mean,M_std,Military_mean,Military_std,N_mean,N_std,Nursing_Home_mean,Nursing_Home_std,P_mean,P_std,Prison_mean,Prison_std,R_mean,R_std,RR_mean,RR_std,S_mean,S_std,,
0,Tue,2012/1/2,1,2012,1,88687,0,0.01,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,88687,0,0,0,10,0,0,0,0,0,0,0,88677,0,88687,10
1,Wed,2012/1/3,1,2012,1,88687,0,0.01,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,88687,0,0,0,10,0,0,0,0,0,0,0,88677,0,88687,10
2,Thu,2012/1/4,1,2012,1,88687,0,0.01,0,0.01,0,3,0,2,0,6,0,4,0,2,0,9,0,6,0,0,0,0,0,88687,0,0,0,13,0,0,0,0,0,0,0,88674,0,88687,13
3,Fri,2012/1/5,1,2012,1,88687,0,0.02,0,0.01,0,2,0,1,0,1,0,3,0,1,0,12,0,7,0,0,0,0,0,88687,0,0,0,15,0,0,0,0,0,0,0,88672,0,88687,15
4,Sat,2012/1/6,1,2012,1,88687,0,0.02,0,0.01,0,4,0,0,0,1,0,6,0,0,0,12,0,8,0,0,0,0,0,88687,0,0,0,18,0,0,0,0,0,0,0,88669,0,88687,18
5,Sun,2012/1/7,2,2012,1,88687,0,0.03,0,0.01,0,5,0,0,0,2,0,8,0,0,0,14,0,10,0,0,0,0,0,88687,0,0,0,22,0,0,0,0,0,0,0,88665,0,88687,22
6,Mon,2012/1/8,2,2012,1,88687,0,0.03,0,0.01,0,2,0,0,0,1,0,8,0,0,0,16,0,11,0,0,0,0,0,88687,0,0,0,24,0,0,0,0,0,0,0,88663,0,88687,24
7,Tue,2012/1/9,2,2012,1,88687,0,0.04,0,0.02,0,7,0,2,0,6,0,9,0,2,0,18,0,14,0,0,0,0,0,88687,0,0,0,27,0,0,0,3,0,0,0,88657,0,88687,27
8,Wed,2012/1/10,2,2012,1,88687,0,0.05,0,0.02,0,9,0,0,0,3,0,14,0,0,0,20,0,15,0,0,0,0,0,88687,0,0,0,34,0,0,0,5,0,0,0,88648,0,88687,34
9,Thu,2012/1/11,2,2012,1,88687,0,0.05,0,0.03,0,5,0,1,0,5,0,10,0,1,0,28,0,19,0,0,0,0,0,88687,0,0,0,38,0,0,0,6,0,0,0,88643,0,88687,38
10,Fri,2012/1/12,2,2012,1,88687,0,0.06,0,0.03,0,9,0,1,0,6,0,12,0,1,0,31,0,22,0,0,0,0,0,88687,0,0,0,43,0,0,0,9,0,1.1,0,88635,0,88687,43
11,Sat,2012/1/13,2,2012,1,88687,0,0.07,0,0.04,0,7,0,1,0,5,0,14,0,1,0,29,0,24,0,0,0,0,0,88687,0,0,0,43,0,0,0,12,0,0,0,88632,0,88687,43
12,Sun,2012/1/14,3,2012,1,88687,0,0.08,0,0.05,0,6,0,0,0,5,0,13,0,0,0,30,0,24,0,0,0,0,0,88687,0,0,0,43,0,0,0,17,0,1.67,0,88627,0,88687,43
13,Mon,2012/1/15,3,2012,1,88687,0,0.09,0,0.05,0,13,0,2,0,3,0,20,0,2,0,31,0,23,0,0,0,0,0,88687,0,0,0,51,0,0,0,21,0,3,0,88615,0,88687,51
14,Tue,2012/1/16,3,2012,1,88687,0,0.11,0,0.05,0,15,0,1,0,2,0,28,0,1,0,30,0,18,0,0,0,0,0,88687,0,0,0,58,0,0,0,28,0,1.5,0,88601,0,88687,58
15,Wed,2012/1/17,3,2012,1,88687,0,0.13,0,0.06,0,21,0,2,0,6,0,38,0,2,0,35,0,20,0,0,0,0,0,88687,0,0,0,73,0,0,0,32,0,2,0,88582,0,88687,73
16,Thu,2012/1/18,3,2012,1,88687,0,0.16,0,0.07,0,28,0,5,0,10,0,47,0,5,0,47,0,27,0,0,0,0,0,88687,0,0,0,94,0,0,0,35,0,1,0,88558,0,88687,94
17,Fri,2012/1/19,3,2012,1,88687,0,0.22,0,0.08,0,51,0,3,0,12,0,77,0,3,0,63,0,36,0,0,0,0,0,88687,0,0,0,140,0,0,0,38,0,1.43,0,88509,0,88687,140
18,Sat,2012/1/20,3,2012,1,88687,0,0.25,0,0.1,0,27,0,1,0,18,0,75,0,1,0,85,0,50,0,0,0,0,0,88687,0,0,0,160,0,0,0,42,0,0.78,0,88485,0,88687,160
19,Sun,2012/1/21,4,2012,1,88687,0,0.3,0,0.14,0,40,0,2,0,34,0,68,0,2,0,124,0,78,0,0,0,0,0,88687,0,0,0,192,0,0,0,48,0,2.4,0,88447,0,88687,192
20,Mon,2012/1/22,4,2012,1,88687,0,0.42,0,0.16,0,105,0,4,0,19,0,145,0,4,0,139,0,90,0,0,0,0,0,88687,0,0,0,284,0,0,0,55,0,2.22,0,88348,0,88687,284
21,Tue,2012/1/23,4,2012,1,88687,0,0.53,0,0.19,0,104,0,1,0,25,0,200,0,1,0,171,0,103,0,0,0,0,0,88687,0,0,0,371,0,0,0,67,0,2.57,0,88249,0,88687,371
