stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420030103002",1,1,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030103003",22,23,1,0.15,16,6,10,1.07,32,30,2,0.43,35,46,11,2.58,0,0,0,0.00,14,14,0,0.00,30,30,0,0.00
"420030103004",0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,45,51,6,2.05,78,72,6,3.55,9,9,0,0.00,0,0,0,0.00
"420030201001",90,88,2,0.65,39,45,6,0.84,47,51,4,0.68,28,28,0,0.00,74,66,8,2.13,0,0,0,0.00,0,0,0,0.00
"420030201002",22,19,3,0.09,161,167,6,1.28,61,62,1,0.08,67,57,10,0.89,179,175,4,0.95,79,89,10,1.05,184,184,0,0.00
"420030201004",167,181,14,4.34,144,142,2,0.53,104,90,14,2.70,41,38,3,0.23,17,23,6,0.19,30,35,5,0.28,36,30,6,0.40
"420030201006",18,18,0,0.00,90,98,8,2.34,96,94,2,0.62,82,80,2,0.53,22,18,4,0.29,0,0,0,0.00,0,0,0,0.00
"420030203001",30,20,10,0.74,184,194,10,4.57,18,20,2,0.09,91,95,4,0.90,66,62,4,0.66,0,0,0,0.00,14,12,2,0.07
"420030305001",55,47,8,0.61,59,53,6,0.49,90,108,18,2.26,156,152,4,0.87,94,76,18,2.36,134,144,10,1.87,128,136,8,1.43
"420030305002",60,62,2,0.27,35,31,4,0.32,49,56,7,0.78,29,35,6,0.40,58,51,7,0.93,77,79,2,0.35,130,124,6,1.78
"420030402001",51,62,11,1.36,137,137,0,0.00,30,36,6,0.44,125,119,6,1.82,33,22,11,0.88,23,22,1,0.06,14,15,1,0.03
"420030402002",30,32,2,0.33,45,39,6,1.49,8,7,1,0.04,19,25,6,0.63,31,31,0,0.00,48,47,1,0.27,0,0,0,0.00
"420030404001",240,229,11,7.35,30,34,4,0.33,0,0,0,0.00,0,0,0,0.00,30,34,4,0.33,46,48,2,0.26,13,14,1,0.04
"420030404002",369,376,7,2.56,159,147,12,1.89,0,0,0,0.00,60,55,5,0.30,46,51,5,0.23,72,73,1,0.07,304,308,4,1.20
