stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420030103002",1,1,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030103003",69,73,4,1.85,27,21,6,1.09,0,6,6,0.00,20,18,2,0.27,6,9,3,0.12,27,22,5,0.91,0,0,0,0.00
"420030103004",16,20,4,0.48,30,26,4,0.91,0,0,0,0.00,0,3,3,0.00,28,28,0,0.00,9,13,4,0.27,49,42,7,2.60
"420030201001",66,62,4,0.95,0,0,0,0.00,25,29,4,0.36,0,0,0,0.00,11,22,11,0.44,72,69,3,0.78,104,96,8,2.99
"420030201002",92,96,4,0.49,52,64,12,0.83,134,132,2,0.36,55,49,6,0.44,23,36,13,0.40,170,154,16,3.61,227,222,5,1.51
"420030201004",174,186,12,3.87,18,20,2,0.07,10,18,8,0.15,36,38,2,0.13,160,141,19,5.64,92,89,3,0.51,49,47,2,0.18
"420030201006",0,0,0,0.00,0,0,0,0.00,0,5,5,0.00,22,24,2,0.14,78,67,11,2.79,129,139,10,4.19,79,73,6,1.54
"420030203001",0,1,1,0.00,10,6,4,0.10,0,9,9,0.00,74,66,8,1.47,6,14,8,0.12,192,189,3,1.43,121,118,3,0.90
"420030305001",293,286,7,2.86,112,122,10,1.56,148,144,4,0.83,45,53,8,0.50,72,64,8,0.80,16,18,2,0.04,30,29,1,0.04
"420030305002",178,192,14,5.69,74,66,8,1.35,84,79,5,0.96,25,22,3,0.17,55,60,5,0.63,22,19,3,0.15,0,0,0,0.00
"420030402001",116,120,4,1.12,0,7,7,0.00,184,174,10,4.46,26,27,1,0.06,42,47,5,0.51,45,38,7,0.76,0,0,0,0.00
"420030402002",34,43,9,1.69,0,0,0,0.00,0,3,3,0.00,53,59,6,1.76,70,57,13,5.03,13,11,2,0.14,11,8,3,0.18
