stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5
"420030103002",1,1,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030103003",94,98,4,2.52,55,51,4,1.48,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030103004",93,85,8,5.64,39,47,8,2.36,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030201001",228,228,0,0.00,0,0,0,0.00,50,50,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030201002",552,555,3,2.20,110,110,0,0.00,91,88,3,0.36,0,0,0,0.00,0,0,0,0.00
"420030201004",320,318,2,1.19,61,55,6,0.68,67,70,3,0.37,91,96,5,0.84,0,0,0,0.00
"420030201006",288,285,3,2.81,0,0,0,0.00,20,23,3,0.19,0,0,0,0.00,0,0,0,0.00
"420030203001",292,295,3,2.17,36,27,9,0.80,44,41,3,0.33,31,40,9,0.69,0,0,0,0.00
"420030305001",87,89,2,0.24,616,611,5,4.30,0,0,0,0.00,0,0,0,0.00,13,16,3,0.05
"420030305002",55,60,5,0.63,383,378,5,4.37,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030402001",82,78,4,0.79,320,316,4,3.10,11,19,8,0.21,0,0,0,0.00,0,0,0,0.00
"420030402002",85,97,12,5.64,88,79,9,4.38,8,5,3,0.13,0,0,0,0.00,0,0,0,0.00
"420030404001",254,249,5,3.54,0,0,0,0.00,105,110,5,1.46,0,0,0,0.00,0,0,0,0.00
"420030404002",698,708,10,6.91,0,0,0,0.00,312,302,10,3.09,0,0,0,0.00,0,0,0,0.00
"420030405001",471,466,5,3.88,15,21,6,0.15,69,70,1,0.11,52,50,2,0.17,0,0,0,0.00
"420030405002",608,605,3,2.63,46,57,11,0.73,39,31,8,0.45,0,0,0,0.00,0,0,0,0.00
"420030406001",876,897,21,16.97,68,48,20,1.25,84,90,6,0.46,32,25,7,0.21,24,24,0,0.00
"420030409001",391,394,3,2.33,86,75,11,1.88,0,0,0,0.00,0,0,0,0.00,27,35,8,0.43
"420030409002",323,318,5,3.15,154,145,9,2.71,35,49,14,0.96,0,0,0,0.00,0,0,0,0.00
"420030409003",261,267,6,5.13,44,38,6,0.87,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030501001",0,0,0,0.00,256,261,5,4.62,0,0,0,0.00,0,0,0,0.00,21,16,5,0.38
"420030501002",0,0,0,0.00,241,241,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030501003",42,35,7,0.73,360,367,7,6.27,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030506001",125,110,15,3.74,351,366,15,10.51,0,0,0,0.00,0,0,0,0.00,25,25,0,0.00
"420030506002",0,0,0,0.00,229,229,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030506003",30,30,0,0.00,221,223,2,1.55,35,33,2,0.24,0,0,0,0.00,0,0,0,0.00
"420030509001",52,58,6,0.48,594,588,6,5.47,5,5,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030510001",61,53,8,0.95,427,431,4,3.34,24,28,4,0.19,0,0,0,0.00,0,0,0,0.00
"420030510002",0,0,0,0.00,219,219,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030511001",25,31,6,0.28,510,504,6,5.72,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030603001",348,351,3,1.94,168,159,9,2.82,0,0,0,0.00,21,27,6,0.23,0,0,0,0.00
"420030603002",527,524,3,2.46,108,111,3,0.50,0,0,0,0.00,8,8,0,0.00,0,0,0,0.00
"420030605001",401,405,4,3.95,0,0,0,0.00,0,0,0,0.00,5,1,4,0.05,0,0,0,0.00
"420030605002",249,243,6,5.13,10,12,2,0.07,0,0,0,0.00,0,0,0,0.00,32,36,4,0.44
"420030703001",385,379,6,5.45,12,12,0,0.00,27,33,6,0.38,0,0,0,0.00,0,0,0,0.00
"420030703002",315,297,18,14.50,13,15,2,0.07,63,79,16,2.58,0,0,0,0.00,0,0,0,0.00
"420030703003",264,266,2,1.45,31,31,0,0.00,68,66,2,0.37,0,0,0,0.00,0,0,0,0.00
"420030705001",612,601,11,9.29,20,21,1,0.03,93,103,10,1.28,0,0,0,0.00,0,0,0,0.00
"420030705002",349,362,13,9.97,13,10,3,0.09,93,83,10,2.04,0,0,0,0.00,0,0,0,0.00
"420030705003",433,416,17,11.31,11,12,1,0.02,207,223,16,5.09,0,0,0,0.00,0,0,0,0.00
"420030706001",447,441,6,4.91,25,20,5,0.23,61,68,7,0.78,0,0,0,0.00,13,17,4,0.10
"420030706002",593,588,5,4.00,9,9,0,0.00,100,106,6,0.81,0,0,0,0.00,40,39,1,0.05
"420030708001",301,298,3,2.01,89,95,6,1.19,52,54,2,0.23,0,0,0,0.00,8,3,5,0.09
"420030708002",452,446,6,4.75,16,11,5,0.14,77,82,5,0.67,0,0,0,0.00,26,32,6,0.27
"420030709001",499,495,4,1.93,120,117,3,0.35,319,333,14,4.31,79,72,7,0.53,18,18,0,0.00
"420030709002",184,177,7,2.96,12,8,4,0.11,227,233,6,3.13,0,0,0,0.00,12,17,5,0.14
"420030709003",262,262,0,0.00,0,0,0,0.00,116,111,5,1.29,73,78,5,0.81,0,0,0,0.00
"420030709004",339,340,1,0.42,77,86,9,0.87,382,372,10,4.79,0,0,0,0.00,0,0,0,0.00
"420030802001",534,535,1,0.95,15,16,1,0.03,14,12,2,0.05,0,0,0,0.00,0,0,0,0.00
"420030802002",333,333,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030804001",321,326,5,4.69,21,16,5,0.31,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030804002",262,258,4,2.54,50,53,3,0.36,95,94,1,0.23,6,8,2,0.03,0,0,0,0.00
"420030806001",590,582,8,6.88,60,64,4,0.35,27,32,5,0.20,9,8,1,0.01,0,0,0,0.00
"420030806002",312,311,1,0.73,17,21,4,0.16,73,80,7,1.20,8,7,1,0.02,16,7,9,0.34
"420030807001",284,259,25,14.73,134,151,17,4.73,47,56,9,0.88,0,0,0,0.00,17,16,1,0.04
"420030807002",365,355,10,6.20,82,84,2,0.28,103,94,9,1.57,0,0,0,0.00,39,56,17,1.13
"420030809001",444,447,3,2.47,55,54,1,0.10,23,26,3,0.13,0,0,0,0.00,17,12,5,0.16
"420030809002",333,328,5,3.93,59,74,15,2.09,15,11,4,0.14,12,8,4,0.11,5,3,2,0.02
"420030901001",564,547,17,14.25,70,89,19,1.98,7,7,0,0.00,0,0,0,0.00,32,30,2,0.10
"420030901002",225,227,2,1.81,24,22,2,0.19,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030902001",402,401,1,0.91,41,42,1,0.09,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030902002",448,467,19,16.09,62,43,19,2.23,10,11,1,0.02,9,8,1,0.02,0,0,0,0.00
"420030902003",397,397,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420030903001",509,510,1,0.89,30,31,1,0.05,0,0,0,0.00,28,26,2,0.10,8,8,0,0.00
"420030903002",184,185,1,0.68,57,54,3,0.63,16,11,5,0.30,0,0,0,0.00,14,21,7,0.36
"420031005001",65,71,6,1.09,236,225,11,7.23,0,0,0,0.00,0,0,0,0.00,58,63,5,0.81
"420031005002",187,182,5,1.68,347,356,9,5.62,0,0,0,0.00,0,0,0,0.00,22,18,4,0.16
"420031011001",429,436,7,5.20,117,115,2,0.40,32,27,5,0.28,0,0,0,0.00,0,0,0,0.00
"420031011002",195,194,1,0.67,71,75,4,0.97,27,24,3,0.28,0,0,0,0.00,0,0,0,0.00
"420031011003",257,254,3,2.60,40,43,3,0.40,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031014001",428,419,9,7.54,83,92,9,1.46,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031014002",311,309,2,1.97,5,7,2,0.03,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031014003",194,198,4,2.04,177,171,6,2.79,9,11,2,0.05,0,0,0,0.00,0,0,0,0.00
"420031014004",311,310,1,0.97,0,0,0,0.00,8,9,1,0.03,0,0,0,0.00,0,0,0,0.00
"420031016001",11,14,3,0.11,299,296,3,2.89,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031017001",76,85,9,2.53,190,175,15,10.56,0,0,0,0.00,0,0,0,0.00,4,10,6,0.09
"420031017002",55,59,4,0.63,228,220,8,5.21,16,15,1,0.05,11,15,4,0.13,40,41,1,0.11
