stcotrbg,count_of_households,size_accuracy,age_accuracy,income_accuracy,race_accuracy,overall_accuracy
"420030103002",1,0.00,0.00,0.00,0.00,0.00
"420030103003",149,0.51,0.60,0.61,0.80,2.52
"420030103004",132,0.25,0.80,0.61,1.60,3.26
"420030201001",278,0.38,0.61,0.79,0.00,1.78
"420030201002",753,0.26,0.62,1.09,0.51,2.48
"420030201004",539,1.39,1.24,1.51,0.62,4.76
"420030201006",308,1.71,0.54,1.24,0.60,4.09
"420030203001",403,0.58,1.00,0.57,0.80,2.95
"420030305001",716,0.48,1.41,0.95,0.92,3.76
"420030305002",438,0.89,0.69,1.28,1.00,3.86
"420030402001",413,1.11,0.66,0.99,0.82,3.58
"420030402002",181,0.42,0.39,1.26,2.03,4.10
"420030404001",359,0.87,1.19,1.64,1.00,4.70
"420030404002",1010,1.57,0.89,2.78,2.00,7.24
"420030405001",607,1.35,0.30,0.63,0.86,3.14
"420030405002",693,1.70,1.76,1.79,0.76,6.01
"420030406001",1084,2.02,0.60,1.85,3.78,8.25
"420030409001",504,0.80,1.61,0.62,0.93,3.96
"420030409002",512,0.82,0.93,2.96,1.36,6.07
"420030409003",305,1.01,1.22,0.94,1.20,4.37
"420030501001",277,1.04,1.04,0.58,1.00,3.66
"420030501002",241,1.23,0.48,0.24,0.00,1.95
"420030501003",402,1.25,0.97,0.73,1.40,4.35
"420030506001",501,0.28,0.53,1.13,2.85,4.79
"420030506002",229,1.10,0.61,0.63,0.00,2.34
"420030506003",286,1.08,1.08,0.63,0.36,3.15
"420030509001",651,2.00,0.70,0.96,1.19,4.85
"420030510001",512,1.26,0.64,1.81,0.90,4.61
"420030510002",219,1.41,0.46,1.38,0.00,3.25
"420030511001",535,1.13,0.98,1.54,1.20,4.85
"420030603001",537,0.37,0.87,1.11,1.00,3.35
"420030603002",643,1.32,1.03,0.85,0.59,3.79
"420030605001",406,1.42,1.21,1.83,0.80,5.26
"420030605002",291,0.47,0.99,0.70,1.13,3.29
"420030703001",424,0.13,1.03,2.08,1.17,4.41
"420030703002",391,0.40,0.92,1.10,3.43,5.85
"420030703003",363,1.78,0.65,1.63,0.36,4.42
"420030705001",725,1.21,0.99,1.39,2.12,5.71
"420030705002",455,0.49,0.67,0.97,2.42,4.55
"420030705003",651,4.41,0.91,1.41,3.28,10.01
"420030706001",546,0.29,1.16,1.82,1.20,4.47
"420030706002",742,0.39,0.79,1.23,0.97,3.38
"420030708001",450,0.17,1.25,0.67,0.70,2.79
"420030708002",571,2.20,0.74,2.07,1.17,6.18
"420030709001",1035,2.97,1.05,2.14,1.42,7.58
"420030709002",435,0.63,1.04,0.76,1.27,3.70
"420030709003",451,0.38,2.07,1.26,0.42,4.13
"420030709004",798,1.70,1.35,1.61,1.22,5.88
"420030802001",563,1.82,0.90,1.17,0.21,4.10
"420030802002",333,1.48,0.67,2.35,0.00,4.50
"420030804001",342,0.82,0.52,0.69,1.00,3.03
"420030804002",413,0.68,1.27,1.67,0.63,4.25
"420030806001",686,1.08,1.73,0.93,1.49,5.23
"420030806002",426,0.13,0.75,2.50,0.49,3.87
"420030807001",482,0.75,0.50,0.79,4.08,6.12
"420030807002",589,0.52,1.28,1.17,1.84,4.81
"420030809001",539,0.71,0.99,0.43,0.57,2.70
"420030809002",424,0.56,0.63,1.10,1.26,3.55
"420030901001",673,2.77,0.79,1.37,3.27,8.20
"420030901002",249,0.93,0.51,0.87,0.40,2.71
"420030902001",443,1.71,1.02,1.65,0.20,4.58
"420030902002",529,1.35,1.14,1.23,3.67,7.39
"420030902003",397,1.50,0.45,1.30,0.00,3.25
"420030903001",575,1.02,0.82,1.33,0.21,3.38
"420030903002",271,1.81,0.42,0.87,0.39,3.49
"420031005001",359,1.13,0.74,1.61,1.83,5.31
"420031005002",556,1.28,1.62,1.71,1.49,6.10
"420031011001",578,0.74,0.88,2.11,1.18,4.91
"420031011002",293,1.02,1.35,1.40,0.38,4.15
"420031011003",297,0.72,0.86,0.86,0.60,3.04
"420031014001",511,1.26,0.45,0.94,1.80,4.45
"420031014002",316,0.87,0.63,0.56,0.40,2.46
"420031014003",380,1.03,0.26,0.55,0.98,2.82
"420031014004",319,0.88,0.42,1.25,0.20,2.75
"420031016001",310,1.64,0.55,1.09,0.60,3.88
"420031017001",270,0.76,1.70,0.76,2.64,5.86
"420031017002",350,0.94,1.20,1.60,1.23,4.97
"420031018001",461,0.67,0.36,1.39,0.60,3.02
"420031018002",721,2.72,0.77,1.21,0.92,5.62
"420031102001",428,0.46,0.61,0.77,3.26,5.10
"420031102002",377,1.51,0.68,1.07,1.38,4.64
"420031102003",611,0.90,2.00,0.61,0.46,3.97
"420031102004",544,0.93,1.40,1.26,1.68,5.27
"420031106001",408,0.97,2.05,1.28,0.80,5.10
"420031106002",303,0.80,0.96,0.33,0.00,2.09
"420031106003",323,0.63,0.65,1.39,0.75,3.42
"420031113001",368,0.61,0.39,1.25,2.00,4.25
"420031113002",275,0.47,1.13,0.63,2.00,4.23
"420031113003",282,0.63,0.24,1.02,1.00,2.89
"420031113004",312,0.54,0.28,0.44,0.70,1.96
"420031114001",257,0.42,0.29,0.59,0.20,1.50
"420031114002",329,0.33,0.61,0.57,0.76,2.27
"420031115001",425,0.54,0.46,0.58,1.50,3.08
"420031115002",1046,2.91,0.80,0.91,0.59,5.21
"420031115004",343,0.49,0.92,0.54,1.20,3.15
"420031203001",421,0.45,0.47,1.58,2.00,4.50
"420031203002",297,0.64,0.25,1.23,0.00,2.12
"420031204001",215,0.72,0.78,0.75,0.00,2.25
"420031204002",151,0.32,0.00,0.55,0.80,1.67
"420031207001",258,1.39,0.45,1.30,0.40,3.54
"420031207002",156,0.46,0.54,0.96,0.40,2.36
"420031208001",132,0.45,0.36,0.89,1.04,2.74
"420031208002",164,0.35,0.32,0.55,0.20,1.42
"420031301001",315,0.31,0.52,0.93,0.00,1.76
"420031301002",213,0.72,0.62,1.22,0.00,2.56
"420031301003",237,0.23,1.01,1.08,0.20,2.52
"420031302001",233,0.77,0.28,0.47,0.40,1.92
"420031302002",296,0.70,0.56,1.63,0.20,3.09
"420031303001",188,0.77,0.52,0.51,0.80,2.60
"420031303002",125,0.19,0.21,0.20,0.22,0.82
"420031303003",279,0.82,0.67,0.83,1.60,3.92
"420031304001",164,1.00,0.38,1.13,0.00,2.51
"420031304002",197,0.39,0.68,0.58,0.00,1.65
"420031304003",126,0.25,0.35,0.41,0.20,1.21
"420031306001",250,0.67,1.52,0.96,0.40,3.55
"420031306002",315,0.57,0.65,1.20,1.58,4.00
"420031306003",753,1.36,1.42,1.47,2.50,6.75
"420031401001",427,0.82,1.00,2.03,1.20,5.05
"420031401002",449,1.89,0.51,0.83,1.48,4.71
"420031401004",153,0.89,0.72,0.53,1.60,3.74
"420031402001",315,0.50,0.74,1.21,1.06,3.51
"420031402002",775,2.09,1.05,2.43,3.22,8.79
"420031403001",359,1.38,0.98,0.84,0.99,4.19
"420031403002",479,0.51,0.85,1.02,1.14,3.52
"420031403003",363,0.82,0.93,0.89,0.77,3.41
"420031403004",300,0.24,1.61,1.93,0.60,4.38
"420031404001",306,0.58,0.49,1.26,0.21,2.54
"420031404002",253,0.46,0.33,0.83,0.00,1.62
"420031404003",389,1.53,1.29,0.56,0.20,3.58
"420031405001",400,2.81,1.00,0.90,0.80,5.51
"420031405002",252,0.97,0.61,0.45,0.24,2.27
"420031405003",387,0.60,0.93,0.73,1.94,4.20
"420031406001",567,1.41,1.05,0.33,3.31,6.10
"420031406002",333,0.46,0.52,1.32,1.07,3.37
"420031406003",510,0.78,1.44,0.44,1.18,3.84
"420031408001",809,1.72,1.39,0.81,1.04,4.96
"420031408002",722,1.28,1.30,0.79,0.71,4.08
"420031408003",420,0.92,1.19,0.67,0.40,3.18
"420031410001",456,0.27,1.36,0.89,0.97,3.49
"420031411001",602,1.50,0.37,0.61,0.02,2.50
"420031413001",667,1.64,1.07,1.03,0.00,3.74
"420031413002",793,1.32,0.71,0.57,1.00,3.60
"420031413003",1004,1.49,1.34,3.03,3.50,9.36
"420031414001",447,1.73,0.73,1.21,2.68,6.35
"420031414002",278,0.49,0.83,0.78,0.00,2.10
"420031414003",424,0.80,0.79,0.82,0.09,2.50
"420031414004",919,2.09,0.58,2.37,3.37,8.41
"420031414005",607,0.74,2.01,2.29,1.17,6.21
"420031516001",532,0.46,0.86,1.34,1.60,4.26
"420031516002",367,0.83,0.77,1.25,0.35,3.20
"420031516003",218,0.22,0.55,0.73,0.00,1.50
"420031517001",440,0.72,0.30,0.96,1.06,3.04
"420031517002",321,0.35,1.09,1.05,0.80,3.29
"420031517003",373,1.29,0.30,0.78,1.44,3.81
"420031517004",293,1.48,0.83,2.60,0.00,4.91
"420031517005",422,0.65,1.22,1.57,0.23,3.67
"420031517006",512,2.54,0.48,1.05,0.60,4.67
"420031608001",246,0.33,0.66,1.16,0.40,2.55
"420031608002",319,0.70,0.51,0.52,0.40,2.13
"420031608003",317,0.78,0.70,0.72,1.11,3.31
"420031608004",346,0.41,0.76,1.50,1.54,4.21
"420031609001",525,1.02,0.73,0.80,1.60,4.15
"420031609002",1187,2.65,1.98,1.20,0.79,6.62
"420031702001",358,0.58,0.74,0.71,0.40,2.43
"420031702002",448,2.04,0.65,0.95,0.00,3.64
"420031702003",691,1.18,0.76,1.04,2.00,4.98
"420031702004",566,2.48,1.18,1.47,0.80,5.93
"420031706001",243,0.40,0.89,0.92,0.00,2.21
"420031706002",351,0.71,0.73,1.36,0.80,3.60
"420031706003",308,1.26,0.86,0.74,0.60,3.46
"420031803001",515,1.17,1.21,1.35,1.96,5.69
"420031803002",244,0.73,0.44,1.13,0.60,2.90
"420031803003",274,1.01,0.78,0.42,4.09,6.30
"420031807001",319,1.18,0.53,0.87,0.00,2.58
"420031807002",301,0.77,0.86,0.99,0.00,2.62
"420031807003",280,0.99,0.72,0.25,0.39,2.35
"420031903001",646,1.41,1.32,1.92,1.96,6.61
"420031903002",414,2.09,0.65,1.05,0.23,4.02
"420031911001",453,0.66,0.63,0.47,0.19,1.95
"420031911002",783,0.40,1.08,2.99,1.16,5.63
"420031914001",858,2.12,1.12,1.98,1.80,7.02
"420031914002",634,2.11,0.79,2.68,2.40,7.98
