sp_id,serialno,stcotrbg,hh_race,hh_income,hh_size,hh_age,latitude,longitude
20617373,2009000388518,"420099601001",1,50100,24,3,40.2157595,-78.24464640000001
20617374,2009000388518,"420099601001",1,10100,24,0,40.2243345,-78.241619
20617375,2009000388518,"420099601001",1,8100,24,0,40.2153024,-78.2451526
20617376,2009000388518,"420099601001",1,60800,24,2,40.215515,-78.24368890000001
20617377,2009000388518,"420099601001",1,11200,24,0,40.2126715,-78.24674549999999
20617378,2009000388518,"420099601001",1,37000,24,1,40.2153754,-78.24496309999999
20617379,2009000388518,"420099601001",1,1500,24,1,40.215668799999996,-78.24522370000001
20617380,2009000388518,"420099601001",1,14500,24,0,40.2151011,-78.2453697
20617381,2009000388518,"420099601001",1,69900,24,3,40.2151948,-78.24487690000001
20617382,2009000388518,"420099601001",1,17800,24,1,40.21531629999999,-78.2452078
20617383,2009000388518,"420099601001",1,35200,24,1,40.2159076,-78.2458381
20617384,2009000388518,"420099601001",1,44100,24,0,40.215221500000006,-78.24567900000001
20617385,2009000388518,"420099601001",1,170400,24,0,40.215532200000006,-78.24539770000001
20617386,2009000388518,"420099601001",1,120000,24,0,40.215515,-78.2459167
20617387,2009000388518,"420099601001",1,45400,24,0,40.215723499999996,-78.2449093
20617388,2009000388518,"420099601001",1,42000,24,0,40.215242700000005,-78.2455424
20617389,2009000388518,"420099601001",1,46000,24,0,40.2159653,-78.2453052
20617390,2009000388518,"420099601001",1,98600,24,0,40.215692499999996,-78.2453699
20617391,2009000388518,"420099601001",1,73000,24,1,40.215565000000005,-78.2452641
20617392,2009000388518,"420099601001",1,13100,24,2,40.2158723,-78.245814
20617393,2009000388518,"420099601001",1,34400,24,2,40.2152947,-78.2455458
20617394,2009000388518,"420099601001",1,128000,24,3,40.215897999999996,-78.2454636
20617395,2009000388518,"420099601001",1,14500,24,2,40.2156844,-78.2457438
20617396,2009000388518,"420099601001",1,25500,24,1,40.2158487,-78.24519040000001
20617397,2009000388518,"420099601001",1,26600,24,1,40.2150294,-78.2450142
20617398,2009000388518,"420099601001",1,0,24,3,40.2155711,-78.2449727
20617399,2009000388518,"420099601001",1,29004,24,0,40.2152292,-78.24567590000001
20617400,2009000388518,"420099601001",1,16400,24,0,40.2157657,-78.24479079999999
20617401,2009000388518,"420099601001",1,26400,24,0,40.215713799999996,-78.2457627
20617402,2009000388518,"420099601001",1,13700,24,0,40.2130248,-78.24711690000001
20617403,2009000388518,"420099601001",1,84000,24,1,40.213073200000004,-78.2396328
20617404,2009000388518,"420099601001",1,55170,24,0,40.2167625,-78.2398952
20617405,2009000388518,"420099601001",1,10000,24,0,40.2152505,-78.2452819
20617406,2009000388518,"420099601001",1,31100,24,2,40.2152176,-78.2449522
20617407,2009000388518,"420099601001",1,58300,24,0,40.21306729999999,-78.2403028
20617408,2009000388518,"420099601001",1,27000,24,0,40.2126585,-78.23996679999999
20617409,2009000388518,"420099601001",1,42300,24,2,40.2130508,-78.2399219
20617410,2009000388518,"420099601001",1,38000,24,1,40.2132593,-78.2397226
20617411,2009000388518,"420099601001",1,50000,24,0,40.215649,-78.24589809999999
20617412,2009000388518,"420099601001",1,10200,24,1,40.2130533,-78.23967579999999
20617413,2009000388518,"420099601001",1,6900,24,1,40.212561799999996,-78.2398315
20617414,2009000388518,"420099601001",1,79400,24,0,40.213122799999994,-78.24014709999999
20617415,2009000388518,"420099601001",1,56000,24,0,40.2132572,-78.2401502
20617416,2009000388518,"420099601001",1,106400,24,1,40.2125935,-78.239536
20617417,2009000388518,"420099601001",1,81400,24,2,40.2125075,-78.2399319
20617418,2009000388518,"420099601001",1,21600,24,0,40.2129766,-78.2404662
20617419,2009000388518,"420099601001",1,8600,24,0,40.2129891,-78.24054029999999
20617420,2009000388518,"420099601001",1,39200,24,1,40.2129936,-78.2401683
20617421,2009000388518,"420099601001",1,44200,24,2,40.2131027,-78.2396415
20617422,2009000388518,"420099601001",1,32500,24,1,40.213390000000004,-78.2403312
20617423,2009000388518,"420099601001",1,9000,24,3,40.2132449,-78.24018509999999
20617424,2009000388518,"420099601001",1,23800,24,1,40.2126969,-78.23963549999999
20617425,2009000388518,"420099601001",1,15400,24,1,40.2127571,-78.2404703
20617426,2009000388518,"420099601001",1,25600,24,0,40.2165291,-78.23970820000001
20617427,2009000388518,"420099601001",1,31200,24,1,40.2132097,-78.24024449999999
20617428,2009000388518,"420099601001",1,80500,24,1,40.2167998,-78.24042709999999
20617429,2009000388518,"420099601001",1,10100,24,3,40.21698320000001,-78.2398533
20617430,2009000388518,"420099601001",1,42000,24,0,40.216269,-78.2407469
20617431,2009000388518,"420099601001",1,66500,24,3,40.2166099,-78.2398204
20617432,2009000388518,"420099601001",1,50900,24,0,40.2167775,-78.2402473
20617433,2009000388518,"420099601001",1,8600,24,2,40.2161663,-78.2402353
20617434,2009000388518,"420099601001",1,4760,24,1,40.2167234,-78.2399079
20617435,2009000388518,"420099601001",1,12600,24,0,40.2164641,-78.23994590000001
20617436,2009000388518,"420099601001",1,33200,24,2,40.2162881,-78.23989250000001
20617437,2009000388518,"420099601001",1,12700,24,4,40.2166677,-78.2400973
20617438,2009000388518,"420099601001",1,33000,24,0,40.2165883,-78.2405102
20617439,2009000388518,"420099601001",1,55100,24,0,40.216766799999995,-78.2398819
20617440,2009000388518,"420099601001",1,28000,24,2,40.2171114,-78.2407123
20617441,2009000388518,"420099601001",1,8600,24,2,40.216417,-78.2404034
20617442,2009000388518,"420099601001",1,15200,24,0,40.2168408,-78.23998459999999
20617443,2009000388518,"420099601001",1,24000,24,1,40.21693320000001,-78.2404816
20617444,2009000388518,"420099601001",1,140150,24,1,40.2162087,-78.2398255
20617445,2009000388518,"420099601001",1,25200,24,0,40.2162981,-78.240131
20617446,2009000388518,"420099601001",1,18600,24,1,40.216334,-78.2399103
20617447,2009000388518,"420099601001",1,13900,24,1,40.2169655,-78.23977409999999
20617448,2009000388518,"420099601001",1,137100,24,1,40.2169583,-78.24051340000001
20617449,2009000388518,"420099601001",1,67000,24,2,40.216465,-78.24011999999999
20617450,2009000388518,"420099601001",1,73700,24,0,40.2164199,-78.24028840000001
20617451,2009000388518,"420099601001",1,7530,24,3,40.2133815,-78.2475698
20617452,2009000388518,"420099601001",1,32800,24,1,40.212738200000004,-78.24690550000001
20617453,2009000388518,"420099601001",1,11000,24,0,40.2126541,-78.2468775
20617454,2009000388518,"420099601001",1,25500,24,0,40.213115,-78.2467312
20617455,2009000388518,"420099601001",1,36700,24,0,40.2130174,-78.2476858
20617456,2009000388518,"420099601001",1,55800,24,0,40.2127474,-78.2468911
20617457,2009000388518,"420099601001",1,44000,24,0,40.214970799999996,-78.2438834
20617458,2009000388518,"420099601001",1,38000,24,0,40.2152603,-78.2418493
20617459,2009000388518,"420099601001",1,55100,24,1,40.2157852,-78.2417556
20617460,2009000388518,"420099601001",1,63000,24,2,40.2126233,-78.24718979999999
20617461,2009000388518,"420099601001",1,16000,24,1,40.213805799999996,-78.24396879999999
20617462,2009000388518,"420099601001",1,17300,24,2,40.2162002,-78.2418296
20617463,2009000388518,"420099601001",1,35000,24,0,40.21273239999999,-78.2466442
20617464,2009000388518,"420099601001",1,42630,24,0,40.213118200000004,-78.2474968
20617465,2009000388518,"420099601001",1,89300,24,0,40.213349799999996,-78.246597
20617466,2009000388518,"420099601001",1,14000,24,1,40.212913,-78.2476302
20617467,2009000388518,"420099601001",1,155000,24,1,40.2130906,-78.2473729
