serialno,rt,division,puma,region,st,adjhsg,adjinc,wgtp,np,type,acr,ags,bds,bld,bus,conp,elep,fs,fulp,gasp,hfl,insp,mhp,mrgi,mrgp,mrgt,mrgx,rms,rntm,rntp,smp,tel,ten,vacs,val,veh,watp,ybl,fes,fincp,fparc,grntp,grpip,hhl,hht,hincp,hugcl,hupac,hupaoc,huparc,kit,lngi,mv,noc,npf,npp,nr,nrc,ocpip,partner,plm,psf,r18,r60,r65,resmode,smocp,smx,srnt,sval,taxp,wif,wkexrel,workstat,facrp,fagsp,fbdsp,fbldp,fbusp,fconp,felep,ffsp,ffulp,fgasp,fhflp,finsp,fkitp,fmhp,fmrgip,fmrgp,fmrgtp,fmrgxp,fmvp,fplmp,frmsp,frntmp,frntp,fsmp,fsmxhp,fsmxsp,ftaxp,ftelp,ftenp,fvacsp,fvalp,fvehp,fwatp,fyblp,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80,hinc_adj
2009001289870,H,2,1400,1,42,1048571,1048026,22,4,1,1,,2,02,2,0000,060,1,0002,140,1,,,,,,,9,2,00470,,1,3,,,1,0700,6,4,000036400,1,0728,024,1,1,36400,0,1,1,1,1,1,1,02,04,0,0,02,,0,1,0,1,0,0,1,,,1,0,,2,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,35,19,32,37,7,5,19,23,22,21,40,8,20,18,21,36,7,31,20,25,8,21,7,8,38,38,24,22,23,25,7,35,17,21,23,6,31,34,21,20,7,20,6,7,40,43,24,22,20,21,5,38,27,25,22,6,37,6,24,20,40,17,38,35,6,6,19,20,19,22,34,6,22,18,23,37,8,7,38148.15269197296000
2007000162526,H,2,1400,1,42,1084729,1102938,11,5,1,2,1,3,02,2,0000,130,2,0002,130,6,00600,,1,00420,1,1,6,,,,1,1,,09,2,1400,9,6,000014000,2,,,1,2,37800,0,2,2,2,1,1,5,02,04,0,1,02,025,2,1,0,1,0,0,2,00797,3,0,1,22,1,11,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,10,4,18,4,3,11,12,22,21,4,11,12,11,3,11,11,14,22,15,23,3,11,11,13,10,18,22,8,14,10,17,4,16,12,4,4,2,10,18,13,12,3,19,3,3,12,11,21,19,4,11,10,10,3,14,10,13,20,12,21,3,11,12,13,11,17,15,11,14,11,19,4,21,13,4,3,2,12,20,41691.07177440231600
2010000781236,H,2,1400,1,42,1031543,1039407,6,4,1,2,1,3,02,2,0000,150,2,0002,260,1,00400,,2,00490,2,1,5,,,,1,1,,16,2,0410,2,1,000080000,3,,,1,1,80000,0,3,3,3,1,1,4,02,04,0,0,02,017,0,1,0,1,0,0,1,01142,3,0,1,32,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,12,7,10,2,5,7,6,2,7,11,6,1,2,6,6,2,10,5,7,12,13,8,12,2,6,6,7,2,7,12,7,1,2,6,7,2,12,7,7,3,1,7,1,11,6,7,7,12,7,2,6,13,10,7,7,10,2,7,7,2,1,8,2,10,7,6,5,10,7,1,7,10,10,7,6,11,2,6,83152.58177847680000
2009001278509,H,2,1400,1,42,1048571,1048026,7,2,1,1,,3,02,2,0000,080,2,1600,003,4,,,,,,,8,2,00550,,1,3,,,2,0240,9,,,,0783,009,1,5,107000,0,4,4,4,1,1,2,00,,0,1,00,,2,1,0,0,0,0,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,11,6,5,10,6,12,2,1,7,7,6,11,6,2,6,2,7,1,10,6,10,6,6,10,6,14,2,2,6,5,6,11,6,1,6,2,5,3,12,6,12,6,6,10,6,13,1,2,6,6,6,9,6,2,6,2,6,2,11,8,10,7,7,10,8,11,2,2,5,6,6,10,6,2,6,2,6,112138.80049563480000
2007000632002,H,2,1400,1,42,1084729,1102938,10,3,1,2,1,4,02,2,0000,100,2,4000,010,4,,,,,,,7,2,00350,,1,3,,,1,0002,8,7,000015700,2,0793,038,1,3,24800,0,2,2,2,1,1,1,01,02,0,1,01,,0,1,0,1,0,0,2,,,1,0,,1,13,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,16,9,3,11,12,9,9,19,11,2,3,3,8,7,9,9,9,3,19,15,14,9,2,9,17,9,8,19,10,3,2,2,10,10,9,10,8,16,3,3,3,8,16,10,2,9,9,2,10,15,15,17,8,9,10,9,9,17,3,3,3,9,15,10,3,9,8,4,10,13,13,14,9,9,9,10,9,3,27352.87248690945600
2011000305458,H,2,1400,1,42,1000000,1018237,8,2,1,3,1,2,02,2,0000,050,2,0002,003,1,00350,,,,,3,4,,,,1,2,,16,1,0002,4,4,000025650,4,,,1,1,25650,0,4,4,4,1,1,6,00,02,0,0,00,008,0,1,0,0,2,2,1,00179,,0,0,24,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,3,2,8,13,2,11,8,8,8,6,8,8,2,14,7,7,12,9,8,13,8,7,13,8,7,8,12,2,2,2,2,14,8,8,2,14,9,12,2,9,13,15,7,2,13,2,6,7,8,7,8,8,12,3,7,7,2,8,7,2,7,7,2,9,8,8,3,13,12,11,10,2,8,8,13,3,10,2,26117.7790500
2010000615138,H,2,1400,1,42,1031543,1039407,9,1,1,1,,3,02,2,0000,080,1,1800,003,4,,,,,,,5,2,00320,,1,3,,,0,0300,3,,,,0575,085,1,4,8100,0,4,4,4,1,1,5,00,,0,0,00,,0,1,0,0,0,0,2,,,1,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,14,9,9,15,11,3,3,2,10,8,9,8,9,15,15,16,8,21,15,12,3,9,10,3,10,19,18,16,8,12,13,9,8,3,2,3,10,3,3,9,18,10,8,16,7,2,3,3,11,8,10,11,9,15,14,18,9,21,14,8,2,9,11,3,9,15,16,13,12,10,11,10,8,4,3,2,9,3,8419.19890507077600
2011000022140,H,2,1400,1,42,1000000,1018237,12,3,1,1,,4,02,2,0000,070,2,0002,030,1,00370,,2,00990,2,1,8,,,,1,1,,11,4,0850,9,2,000051730,2,,,1,1,51730,1,2,4,2,1,1,7,00,03,1,0,01,029,0,1,0,1,2,2,1,01265,3,0,1,19,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,12,19,20,14,17,3,20,4,13,5,3,11,12,11,13,13,14,12,21,3,4,13,12,25,12,10,12,12,22,12,12,3,3,21,21,3,4,19,11,12,13,4,4,13,3,19,4,21,12,23,19,13,12,11,13,13,13,13,3,22,20,12,12,4,12,11,14,10,3,12,13,23,22,3,2,21,20,52673.4000100
2009001069054,H,2,1400,1,42,1048571,1048026,4,2,1,2,1,3,02,2,0000,070,2,0500,010,4,00000,,2,00350,2,1,7,,,,1,1,,02,2,0430,5,1,000038400,4,,,1,1,38400,0,4,4,4,1,1,7,00,02,0,0,00,018,0,1,0,0,0,0,1,00580,3,0,1,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,4,5,4,1,1,5,2,7,1,9,4,7,9,4,5,4,5,5,7,4,1,6,7,5,4,2,5,5,5,5,1,4,5,7,7,1,1,4,9,5,1,7,8,4,4,1,4,3,5,4,1,4,4,7,7,1,1,2,5,8,5,4,5,1,2,5,2,7,1,7,4,7,7,4,4,4,4,1,40244.20503768576000
2009000745806,H,2,1400,1,42,1048571,1048026,8,1,1,1,,3,02,2,0000,010,1,1100,003,5,00000,,2,00030,2,1,6,,,,1,1,,02,1,0600,8,,,,,,1,6,12000,0,4,4,4,1,1,6,00,,0,0,00,020,0,1,0,0,0,0,1,00199,3,0,1,06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,7,8,2,7,2,12,14,7,7,7,3,7,13,8,12,11,7,14,7,12,8,7,11,6,13,2,2,7,8,8,10,7,1,8,3,2,10,10,8,12,7,7,13,7,13,2,2,7,7,6,12,7,2,7,2,2,7,2,8,2,6,7,2,7,3,13,14,7,6,7,2,7,13,8,12,13,7,12576.31407427680000
2009000173498,H,2,1400,1,42,1048571,1048026,14,1,1,,,1,05,,0000,040,2,0001,001,1,,,,,,,4,2,00600,,1,3,,,1,0001,7,,,,0640,009,1,4,90240,0,4,4,4,1,1,3,00,,0,0,00,,0,1,0,0,1,0,1,,,1,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,14,22,4,4,14,15,22,15,12,16,15,25,14,13,5,5,23,13,24,5,13,20,3,5,14,14,26,15,13,13,14,27,14,13,5,4,21,16,25,4,14,22,3,4,12,12,22,14,13,13,16,26,14,15,4,4,25,13,25,5,14,28,4,4,14,14,26,13,15,14,17,23,12,12,4,3,25,14,94573.88183856153600
