sp_id,sp_gq_id,sporder,age,sex
940001069,450040313,1,86,2
940001070,450040313,2,77,2
940001071,450040313,3,70,2
940001072,450040313,4,84,2
940001073,450040313,5,90,2
940001074,450040313,6,75,2
940001075,450040313,7,89,2
940001076,450040313,8,98,2
940001077,450040313,9,86,2
940001087,450040313,10,90,2
940001086,450040313,11,89,2
940001085,450040313,12,90,2
940001078,450040313,13,82,2
940001079,450040313,14,90,2
940001080,450040313,15,84,2
940001081,450040313,16,90,2
940666231,450040313,17,86,1
939328277,450040313,18,61,2
939328278,450040313,19,56,2
939328279,450040313,20,48,2
940666232,450040313,21,75,1
940666233,450040313,22,99,1
940666234,450040313,23,71,1
940666235,450040313,24,70,1
940666236,450040313,25,90,1
940666237,450040313,26,79,1
940666238,450040313,27,78,1
940666239,450040313,28,87,1
940666240,450040313,29,76,1
940666241,450040313,30,77,1
940666242,450040313,31,89,1
940666243,450040313,32,78,1
940666244,450040313,33,86,1
940666245,450040313,34,66,1
940001092,450040313,35,81,2
940001091,450040313,36,85,2
940001090,450040313,37,84,2
940001089,450040313,38,82,2
940001088,450040313,39,83,2
940001068,450040313,40,80,2
940001084,450040313,41,77,2
940001083,450040313,42,87,2
940001082,450040313,43,73,2
940666230,450040313,44,85,1
939328276,450040313,45,58,2
939295741,450047487,1,25,2
940257344,450047487,2,87,2
940771710,450047487,3,79,1
940771709,450047487,4,76,1
940771708,450047487,5,84,1
940771707,450047487,6,78,1
940771706,450047487,7,84,1
939299470,450047487,8,63,2
939299471,450047487,9,26,2
940257345,450047487,10,78,2
940257346,450047487,11,78,2
940257348,450047487,12,85,2
940257347,450047487,13,94,2
940771711,450047487,14,86,1
940771712,450047487,15,96,1
940771713,450047487,16,72,1
940417613,450047487,17,61,1
940417614,450047487,18,60,1
939614818,450030495,1,79,2
939378701,450030495,2,29,2
939378700,450030495,3,59,2
939378699,450030495,4,63,2
939378698,450030495,5,64,2
939614863,450030495,6,89,2
939614862,450030495,7,75,2
939614861,450030495,8,92,2
939614860,450030495,9,89,2
939614859,450030495,10,85,2
939614858,450030495,11,75,2
939614857,450030495,12,84,2
939614856,450030495,13,92,2
939614855,450030495,14,87,2
939614854,450030495,15,90,2
939614853,450030495,16,84,2
939614852,450030495,17,74,2
939614851,450030495,18,91,2
939614850,450030495,19,93,2
939614849,450030495,20,83,2
939614848,450030495,21,77,2
939614847,450030495,22,81,2
939614846,450030495,23,78,2
939614845,450030495,24,78,2
939614844,450030495,25,85,2
939614843,450030495,26,88,2
939614842,450030495,27,71,2
939614841,450030495,28,73,2
939614840,450030495,29,84,2
939614839,450030495,30,99,2
939614838,450030495,31,88,2
939614837,450030495,32,93,2
939614836,450030495,33,65,2
939614835,450030495,34,78,2
939614834,450030495,35,102,2
939614833,450030495,36,93,2
939614832,450030495,37,92,2
939614831,450030495,38,90,2
939614830,450030495,39,82,2
939614829,450030495,40,89,2
939614828,450030495,41,85,2
939614827,450030495,42,87,2
939614826,450030495,43,84,2
939614825,450030495,44,90,2
939614824,450030495,45,82,2
939614823,450030495,46,88,2
939614822,450030495,47,86,2
939614821,450030495,48,87,2
939614820,450030495,49,85,2
939614819,450030495,50,81,2
939614817,450030495,51,78,2
939614816,450030495,52,70,2
939614815,450030495,53,88,2
939614814,450030495,54,85,2
939614813,450030495,55,83,2
939614812,450030495,56,81,2
939614811,450030495,57,79,2
939614810,450030495,58,71,2
939614809,450030495,59,79,2
939614808,450030495,60,86,2
939614807,450030495,61,81,2
939614806,450030495,62,76,2
939614805,450030495,63,76,2
939614804,450030495,64,83,2
939614803,450030495,65,82,2
939614802,450030495,66,90,2
939614800,450030495,67,86,2
939614799,450030495,68,100,2
939614798,450030495,69,91,2
939614797,450030495,70,86,2
939614796,450030495,71,88,2
939614795,450030495,72,75,2
939614794,450030495,73,97,2
939614793,450030495,74,73,2
939614792,450030495,75,101,2
939614791,450030495,76,90,2
939614790,450030495,77,85,2
939614789,450030495,78,89,2
939614788,450030495,79,89,2
939614787,450030495,80,90,2
939614786,450030495,81,101,2
939614785,450030495,82,90,2
939614784,450030495,83,93,2
939614783,450030495,84,72,2
939614782,450030495,85,88,2
939614781,450030495,86,88,2
939614780,450030495,87,100,2
939614779,450030495,88,78,2
939614778,450030495,89,89,2
939614777,450030495,90,95,2
939614776,450030495,91,83,2
939614775,450030495,92,85,2
939614774,450030495,93,79,2
939614773,450030495,94,81,2
939614772,450030495,95,90,2
939614771,450030495,96,77,2
939614770,450030495,97,103,2
939614769,450030495,98,79,2
939614768,450030495,99,84,2
939614767,450030495,100,87,2
939614766,450030495,101,72,2
939614765,450030495,102,99,2
939614764,450030495,103,97,2
939614763,450030495,104,85,2
939614762,450030495,105,65,2
939614761,450030495,106,90,2
939614760,450030495,107,78,2
939614759,450030495,108,69,2
939614758,450030495,109,105,2
939614757,450030495,110,102,2
939614756,450030495,111,81,2
939614755,450030495,112,88,2
939614754,450030495,113,76,2
939614753,450030495,114,87,2
939614752,450030495,115,88,2
939614801,450030495,116,74,2
940515020,450030495,117,80,1
940515019,450030495,118,91,1
940515018,450030495,119,81,1
940515017,450030495,120,85,1
940515016,450030495,121,78,1
940515015,450030495,122,96,1
940515014,450030495,123,75,1
940515013,450030495,124,83,1
940515012,450030495,125,83,1
940515011,450030495,126,80,1
940515010,450030495,127,82,1
940515009,450030495,128,79,1
940515008,450030495,129,89,1
940515007,450030495,130,83,1
940515006,450030495,131,89,1
940515005,450030495,132,81,1
940515004,450030495,133,78,1
940515003,450030495,134,85,1
940515002,450030495,135,85,1
940515001,450030495,136,76,1
940515000,450030495,137,80,1
940514999,450030495,138,79,1
940514998,450030495,139,69,1
940514997,450030495,140,65,1
940514996,450030495,141,69,1
939614952,450030496,1,77,2
939614916,450030496,2,87,2
939614917,450030496,3,88,2
939614918,450030496,4,77,2
939614919,450030496,5,93,2
939614920,450030496,6,89,2
939614921,450030496,7,76,2
939614922,450030496,8,72,2
939614923,450030496,9,68,2
939614924,450030496,10,85,2
939614925,450030496,11,76,2
939614926,450030496,12,80,2
939614927,450030496,13,86,2
939614928,450030496,14,86,2
939614929,450030496,15,70,2
939614930,450030496,16,91,2
939614931,450030496,17,97,2
939614932,450030496,18,84,2
939614933,450030496,19,83,2
939614934,450030496,20,80,2
939614935,450030496,21,86,2
939614936,450030496,22,79,2
939614937,450030496,23,87,2
939614938,450030496,24,79,2
939614939,450030496,25,78,2
939614940,450030496,26,97,2
939614941,450030496,27,90,2
939614942,450030496,28,85,2
939614943,450030496,29,99,2
939614944,450030496,30,88,2
939614945,450030496,31,69,2
939614946,450030496,32,77,2
939614947,450030496,33,65,2
939614948,450030496,34,76,2
940515028,450030496,35,85,1
940515027,450030496,36,92,1
939614949,450030496,37,94,2
939614950,450030496,38,76,2
939614951,450030496,39,85,2
939614953,450030496,40,95,2
939614954,450030496,41,87,2
939614955,450030496,42,77,2
939614956,450030496,43,77,2
940515026,450030496,44,72,1
940515025,450030496,45,100,1
940515024,450030496,46,86,1
940515023,450030496,47,75,1
940515022,450030496,48,78,1
940515021,450030496,49,84,1
939614984,450030496,50,83,2
939614985,450030496,51,82,2
939614986,450030496,52,70,2
939614987,450030496,53,87,2
939614967,450030496,54,85,2
939614968,450030496,55,71,2
939614969,450030496,56,77,2
939614970,450030496,57,90,2
939614971,450030496,58,97,2
939614972,450030496,59,77,2
939614973,450030496,60,82,2
939614974,450030496,61,89,2
939614975,450030496,62,89,2
939614976,450030496,63,87,2
939614977,450030496,64,88,2
939614978,450030496,65,90,2
939614979,450030496,66,89,2
939614980,450030496,67,87,2
939614981,450030496,68,81,2
939614982,450030496,69,87,2
939614983,450030496,70,77,2
939614957,450030496,71,98,2
939614958,450030496,72,96,2
939614959,450030496,73,89,2
939614960,450030496,74,89,2
939614961,450030496,75,89,2
939614962,450030496,76,90,2
939614963,450030496,77,76,2
939614964,450030496,78,92,2
939614965,450030496,79,84,2
939614864,450030496,80,76,2
940515035,450030496,81,72,1
939378702,450030496,82,52,2
939378703,450030496,83,53,2
939378704,450030496,84,49,2
939378705,450030496,85,31,2
939378706,450030496,86,63,2
939378707,450030496,87,45,2
939378708,450030496,88,40,2
940515059,450030496,89,75,1
940515060,450030496,90,68,1
940515061,450030496,91,102,1
940515062,450030496,92,68,1
940515063,450030496,93,89,1
939614865,450030496,94,69,2
939614866,450030496,95,87,2
939614867,450030496,96,88,2
939614868,450030496,97,83,2
939614869,450030496,98,75,2
939614870,450030496,99,86,2
939614871,450030496,100,89,2
939614872,450030496,101,100,2
939614873,450030496,102,82,2
939614874,450030496,103,75,2
939614875,450030496,104,96,2
940515071,450030496,105,85,1
940515070,450030496,106,78,1
940515069,450030496,107,85,1
940515068,450030496,108,83,1
940515037,450030496,109,84,1
940515038,450030496,110,87,1
940515039,450030496,111,82,1
940515040,450030496,112,89,1
940515041,450030496,113,94,1
940515042,450030496,114,73,1
940515043,450030496,115,94,1
940515036,450030496,116,68,1
940515029,450030496,117,87,1
940515030,450030496,118,75,1
940515031,450030496,119,89,1
940515032,450030496,120,83,1
940515033,450030496,121,80,1
940515034,450030496,122,89,1
940515067,450030496,123,96,1
940515066,450030496,124,89,1
940515065,450030496,125,74,1
940515064,450030496,126,88,1
939614876,450030496,127,81,2
939614877,450030496,128,83,2
940515044,450030496,129,68,1
940515045,450030496,130,77,1
940515046,450030496,131,77,1
940515047,450030496,132,87,1
940515048,450030496,133,79,1
940515049,450030496,134,91,1
940515050,450030496,135,80,1
940515051,450030496,136,79,1
940515052,450030496,137,79,1
940515053,450030496,138,77,1
940515054,450030496,139,77,1
940515055,450030496,140,80,1
940515056,450030496,141,81,1
940515057,450030496,142,67,1
940515058,450030496,143,71,1
939614878,450030496,144,88,2
939614879,450030496,145,76,2
939614880,450030496,146,102,2
939614881,450030496,147,86,2
939614882,450030496,148,93,2
939614883,450030496,149,66,2
939614884,450030496,150,94,2
939614885,450030496,151,87,2
939614886,450030496,152,86,2
939614887,450030496,153,82,2
939614888,450030496,154,76,2
939614889,450030496,155,88,2
939614890,450030496,156,90,2
939614891,450030496,157,85,2
939614892,450030496,158,97,2
939614893,450030496,159,87,2
939614894,450030496,160,89,2
939614895,450030496,161,82,2
939614896,450030496,162,70,2
939614897,450030496,163,67,2
939614898,450030496,164,83,2
939614899,450030496,165,65,2
939614900,450030496,166,96,2
939614901,450030496,167,89,2
939614902,450030496,168,94,2
939614903,450030496,169,81,2
939614904,450030496,170,80,2
939614905,450030496,171,86,2
940319306,450030496,172,56,1
940319307,450030496,173,58,1
940319308,450030496,174,44,1
940319309,450030496,175,42,1
940319310,450030496,176,36,1
940319311,450030496,177,55,1
940319312,450030496,178,50,1
939614906,450030496,179,82,2
939614907,450030496,180,86,2
939614966,450030496,181,77,2
939614908,450030496,182,70,2
939614909,450030496,183,87,2
939614910,450030496,184,97,2
939614911,450030496,185,74,2
939614912,450030496,186,75,2
939614913,450030496,187,94,2
939614914,450030496,188,94,2
939614915,450030496,189,80,2
942558421,450008460,1,28,1
942558420,450008460,2,44,1
942558419,450008460,3,58,1
942558418,450008460,4,41,1
942558417,450008460,5,45,1
942558416,450008460,6,27,1
942558415,450008460,7,35,1
942558414,450008460,8,26,1
942558413,450008460,9,30,1
942558412,450008460,10,46,1
942558411,450008460,11,39,1
942558410,450008460,12,36,1
942558409,450008460,13,25,1
942558408,450008460,14,30,1
942558407,450008460,15,37,1
942558406,450008460,16,27,1
942558405,450008460,17,46,1
942558404,450008460,18,30,1
942558403,450008460,19,36,1
942558430,450008460,20,46,1
942558402,450008460,21,20,1
942558401,450008460,22,37,1
942558400,450008460,23,55,1
942558399,450008460,24,49,1
942558398,450008460,25,60,1
942558397,450008460,26,46,1
942558396,450008460,27,48,1
942558395,450008460,28,25,1
942558394,450008460,29,50,1
942558393,450008460,30,25,1
942558392,450008460,31,45,1
942558391,450008460,32,48,1
942558390,450008460,33,41,1
942558389,450008460,34,35,1
942558388,450008460,35,62,1
942558387,450008460,36,49,1
942558386,450008460,37,45,1
942558429,450008460,38,32,1
942558428,450008460,39,46,1
942558427,450008460,40,27,1
942558426,450008460,41,41,1
942558425,450008460,42,38,1
942558424,450008460,43,51,1
942558423,450008460,44,52,1
942558447,450008460,45,21,1
942558446,450008460,46,28,1
942558445,450008460,47,24,1
942558444,450008460,48,34,1
942558443,450008460,49,20,1
942558385,450008460,50,26,1
942558384,450008460,51,24,1
942558383,450008460,52,20,1
942558382,450008460,53,39,1
942558442,450008460,54,32,1
942558441,450008460,55,23,1
942558440,450008460,56,26,1
942558439,450008460,57,33,1
942558422,450008460,58,39,1
942558438,450008460,59,32,1
942558437,450008460,60,24,1
942558436,450008460,61,37,1
942558435,450008460,62,49,1
942558434,450008460,63,44,1
942558433,450008460,64,42,1
942558381,450008460,65,31,1
942558380,450008460,66,36,1
942558379,450008460,67,39,1
942558378,450008460,68,27,1
942558377,450008460,69,30,1
942558376,450008460,70,34,1
942558375,450008460,71,31,1
942558374,450008460,72,35,1
942558373,450008460,73,45,1
942558372,450008460,74,35,1
942558371,450008460,75,34,1
942558370,450008460,76,44,1
942558369,450008460,77,32,1
942558432,450008460,78,23,1
942558431,450008460,79,53,1
942558457,450022046,1,35,2
942558448,450022046,2,47,2
942558449,450022046,3,21,2
942558450,450022046,4,25,2
942558451,450022046,5,48,2
942558452,450022046,6,29,2
942558453,450022046,7,24,2
942558454,450022046,8,48,2
942558455,450022046,9,30,2
942558456,450022046,10,27,2
942558458,450022046,11,48,2
942558459,450022046,12,43,2
942558460,450022046,13,43,2
942558461,450022046,14,51,2
942558462,450022046,15,36,2
942558463,450022046,16,38,2
942558464,450022046,17,41,2
938342109,450004650,1,21,2
938342110,450004650,2,18,2
938342069,450004650,3,21,2
938342108,450004650,4,19,2
938342107,450004650,5,24,2
938342106,450004650,6,19,2
938342105,450004650,7,19,2
938342104,450004650,8,21,2
938342111,450004650,9,21,2
938342112,450004650,10,18,2
938342113,450004650,11,22,2
938342114,450004650,12,39,2
938342115,450004650,13,21,2
938342116,450004650,14,18,2
938342117,450004650,15,18,2
938342118,450004650,16,18,2
938342119,450004650,17,19,2
938342120,450004650,18,18,2
938342121,450004650,19,20,2
938342122,450004650,20,21,2
938342123,450004650,21,19,2
938342124,450004650,22,18,2
938342125,450004650,23,18,2
938342126,450004650,24,23,2
938342127,450004650,25,23,2
938342128,450004650,26,19,2
938342129,450004650,27,21,2
938342130,450004650,28,20,2
938342103,450004650,29,20,2
938342102,450004650,30,22,2
938342101,450004650,31,18,2
938342100,450004650,32,23,2
938342099,450004650,33,22,2
938342064,450004650,34,19,2
938342070,450004650,35,19,2
938342131,450004650,36,26,2
938342132,450004650,37,22,2
938342133,450004650,38,19,2
938342071,450004650,39,18,2
938342072,450004650,40,19,2
938342073,450004650,41,18,2
938342074,450004650,42,19,2
938342075,450004650,43,19,2
938342063,450004650,44,19,2
938342062,450004650,45,19,2
938342061,450004650,46,18,2
938342060,450004650,47,19,2
938342059,450004650,48,18,2
938342058,450004650,49,21,1
938342057,450004650,50,20,1
938342056,450004650,51,19,1
938342055,450004650,52,19,1
938342054,450004650,53,20,1
938342053,450004650,54,19,1
938342052,450004650,55,19,1
938342051,450004650,56,19,1
938342050,450004650,57,22,1
938342049,450004650,58,20,1
938342048,450004650,59,22,1
938342047,450004650,60,20,1
938342046,450004650,61,18,1
938342045,450004650,62,22,1
938342044,450004650,63,19,1
938342043,450004650,64,19,1
938342042,450004650,65,20,1
938342041,450004650,66,19,1
938342040,450004650,67,21,1
938342039,450004650,68,19,1
938342038,450004650,69,19,1
938342037,450004650,70,19,1
938342036,450004650,71,18,1
938342035,450004650,72,22,1
938342034,450004650,73,19,1
938342033,450004650,74,19,1
938342032,450004650,75,20,1
938342031,450004650,76,27,1
938342030,450004650,77,22,1
938342029,450004650,78,22,1
938342028,450004650,79,22,1
938342027,450004650,80,23,1
938342026,450004650,81,28,1
938342025,450004650,82,20,1
938342024,450004650,83,23,1
938342023,450004650,84,19,1
938342022,450004650,85,21,1
938342021,450004650,86,19,1
938342020,450004650,87,18,1
938342019,450004650,88,19,1
938342018,450004650,89,23,1
938342017,450004650,90,31,1
938342016,450004650,91,19,1
938342015,450004650,92,19,1
938342014,450004650,93,22,1
938342013,450004650,94,19,1
938342012,450004650,95,19,1
938342011,450004650,96,21,1
938342010,450004650,97,20,1
938342009,450004650,98,28,1
938342008,450004650,99,21,1
938342007,450004650,100,21,1
938342006,450004650,101,24,1
938342005,450004650,102,21,1
938342004,450004650,103,34,1
938342003,450004650,104,19,1
938342002,450004650,105,19,1
938342001,450004650,106,20,1
938342000,450004650,107,19,1
938341999,450004650,108,18,1
938341998,450004650,109,17,1
938342076,450004650,110,19,2
938342077,450004650,111,18,2
938342078,450004650,112,19,2
938342079,450004650,113,21,2
938342080,450004650,114,20,2
938342081,450004650,115,23,2
938342082,450004650,116,18,2
938342083,450004650,117,21,2
938342084,450004650,118,23,2
938342085,450004650,119,21,2
938342086,450004650,120,19,2
938342087,450004650,121,24,2
938342088,450004650,122,19,2
938342089,450004650,123,20,2
938342090,450004650,124,23,2
938342091,450004650,125,21,2
938342092,450004650,126,19,2
938342093,450004650,127,19,2
938342094,450004650,128,19,2
938342095,450004650,129,19,2
938342096,450004650,130,19,2
938342097,450004650,131,19,2
938342098,450004650,132,19,2
938342134,450004650,133,19,2
938342065,450004650,134,21,2
938342066,450004650,135,19,2
938342067,450004650,136,21,2
938342068,450004650,137,19,2
938342135,450004650,138,18,2
938342136,450004650,139,18,2
938342137,450004650,140,19,2
938342138,450004650,141,24,2
938342139,450004650,142,19,2
938342140,450004650,143,20,2
938342141,450004650,144,18,2
938342142,450004650,145,19,2
938342143,450004650,146,18,2
938342144,450004650,147,20,2
938342145,450004650,148,22,2
938339562,450004651,1,21,1
938339581,450004651,2,21,2
938339580,450004651,3,30,2
938339579,450004651,4,20,2
938339578,450004651,5,20,2
938339577,450004651,6,20,2
938339576,450004651,7,51,2
938339575,450004651,8,19,2
938339574,450004651,9,18,2
938339573,450004651,10,20,2
938339572,450004651,11,21,2
938339571,450004651,12,20,2
938339570,450004651,13,19,2
938339569,450004651,14,19,2
938339568,450004651,15,20,2
938339567,450004651,16,24,1
938339566,450004651,17,18,1
938339565,450004651,18,19,1
938339564,450004651,19,19,1
938339563,450004651,20,19,1
939849647,450036345,1,89,2
939849646,450036345,2,76,2
939355657,450036345,3,47,2
940607255,450036345,4,77,1
940607254,450036345,5,85,1
940607253,450036345,6,72,1
940607252,450036345,7,83,1
940607251,450036345,8,67,1
940607250,450036345,9,94,1
940607249,450036345,10,75,1
940607248,450036345,11,82,1
940607247,450036345,12,90,1
939849663,450036345,13,78,2
939849662,450036345,14,92,2
939849661,450036345,15,74,2
939849660,450036345,16,102,2
939849659,450036345,17,97,2
939849658,450036345,18,87,2
939849657,450036345,19,77,2
939849656,450036345,20,77,2
939849655,450036345,21,86,2
939849654,450036345,22,87,2
939849653,450036345,23,79,2
939849652,450036345,24,82,2
939849651,450036345,25,83,2
939849650,450036345,26,67,2
939849649,450036345,27,70,2
939849669,450036345,28,72,2
939849668,450036345,29,86,2
939849667,450036345,30,84,2
939849666,450036345,31,89,2
939849665,450036345,32,77,2
939849664,450036345,33,90,2
939849648,450036345,34,68,2
940086672,450042411,1,85,2
940086676,450042411,2,80,2
940086677,450042411,3,87,2
940086678,450042411,4,68,2
939320981,450042411,5,58,2
940086679,450042411,6,94,2
940086680,450042411,7,84,2
940086681,450042411,8,72,2
940086682,450042411,9,104,2
940086683,450042411,10,70,2
940086660,450042411,11,80,2
940086661,450042411,12,97,2
940086662,450042411,13,80,2
940086663,450042411,14,96,2
940086664,450042411,15,75,2
940086665,450042411,16,87,2
940086666,450042411,17,86,2
