sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
164281596,11048181,2007000951052,"420659503005",42,1,1,1,0,,514269692
164281599,11049475,2007000951052,"420659505001",41,2,1,2,1,,514267988
164281603,11051921,2007000951052,"420659506005",41,2,1,2,1,,514267791
164281604,11053415,2007000951052,"420659507003",42,1,1,1,0,,514270908
164281606,11055298,2007000951052,"420659509001",42,1,1,1,0,,514268126
164281607,11055298,2007000951052,"420659509001",41,2,1,2,1,,514267974
164281608,11056301,2007000951052,"420659509004",42,1,1,1,0,,514269445
164281610,11056740,2007000951052,"420659510001",42,1,1,1,0,,514269279
164281611,11056740,2007000951052,"420659510001",41,2,1,2,1,,514270454
164281612,11057213,2007000951052,"420659510002",42,1,1,1,0,,514268812
164281613,11057213,2007000951052,"420659510002",41,2,1,2,1,,513927717
164281616,11060042,2007000951052,"420659512001",42,1,1,1,0,,514268862
164281617,11060042,2007000951052,"420659512001",41,2,1,2,1,,514269445
164281620,11061876,2007000951052,"420659513002",42,1,1,1,0,,514269380
164281621,11061876,2007000951052,"420659513002",41,2,1,2,1,,514270454
164380019,11054752,2007000953441,"420659508003",64,1,1,2,1,,514270090
164380020,11054752,2007000953441,"420659508003",61,2,1,1,0,,
164380021,11056775,2007000953441,"420659510001",64,1,1,2,1,,514269827
164380022,11056775,2007000953441,"420659510001",61,2,1,1,0,,
164571822,11048827,2007000958032,"420659504003",71,2,1,2,1,,
164571823,11048827,2007000958032,"420659504003",73,1,1,1,0,,514268152
164571824,11048827,2007000958032,"420659504003",42,1,1,3,2,,514267977
164571826,11049450,2007000958032,"420659505001",73,1,1,1,0,,514268289
164581169,11045631,2007000958272,"420659502002",52,1,1,2,1,,514270712
164581171,11045631,2007000958272,"420659502002",48,2,1,1,0,,
164581174,11045692,2007000958272,"420659502002",48,2,1,1,0,,
164581176,11048795,2007000958272,"420659504002",2,2,1,3,2,,
164581177,11048795,2007000958272,"420659504002",48,2,1,1,0,,
164581179,11062424,2007000958272,"420659513003",2,2,1,3,2,,
164581180,11062424,2007000958272,"420659513003",48,2,1,1,0,,
164624838,11047350,2007000959304,"420659503003",61,1,1,2,1,,514270454
164624840,11052172,2007000959304,"420659506005",61,1,1,2,1,,514267648
164697802,11050939,2007000960983,"420659506002",8,1,1,4,2,450066968,
164697803,11050939,2007000960983,"420659506002",35,1,1,2,1,,
164697804,11050939,2007000960983,"420659506002",12,2,1,3,2,450067304,
164697805,11050939,2007000960983,"420659506002",32,2,1,1,0,,514268152
164697806,11054443,2007000960983,"420659508002",8,1,1,4,2,450066968,
164794402,11061326,2007000963231,"420659513001",52,1,1,2,1,,
164841474,11061680,2007000964332,"420659513002",34,2,1,1,0,,
164912830,11044147,2007000966000,"420659501001",79,2,1,1,0,,
164912831,11057507,2007000966000,"420659510002",79,2,1,1,0,,
164918587,11053358,2007000966141,"420659507003",38,2,1,2,1,,514270908
164918592,11059125,2007000966141,"420659511003",45,1,1,1,0,,514268680
164918593,11059607,2007000966141,"420659511004",38,2,1,2,1,,514268027
164918595,11059607,2007000966141,"420659511004",45,1,1,1,0,,514269215
165051008,11051205,2007000969325,"420659506003",56,2,1,2,1,,514268166
165051009,11052152,2007000969325,"420659506005",76,1,1,1,0,,
165051010,11052152,2007000969325,"420659506005",56,2,1,2,1,,514268376
165051014,11061930,2007000969325,"420659513002",56,2,1,2,1,,514269242
165051015,11062248,2007000969325,"420659513003",76,1,1,1,0,,
165101667,11044233,2007000970520,"420659501001",81,1,1,1,0,,
165101668,11044233,2007000970520,"420659501001",79,2,1,2,1,,
165101669,11046392,2007000970520,"420659503001",81,1,1,1,0,,
165101672,11057494,2007000970520,"420659510002",79,2,1,2,1,,
165101677,11059372,2007000970522,"420659511004",82,2,1,1,0,,
165108890,11047109,2007000970678,"420659503003",49,1,1,1,0,,514268255
165108892,11047109,2007000970678,"420659503003",25,1,1,3,2,,514269648
165108896,11054939,2007000970678,"420659508003",49,1,1,1,0,,514270742
